medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country
Gold Medal,1,45500,TSUNODA Natsumi,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1896735,JPN,Japan
Silver Medal,2,45500,Baasankhuu BAVUUDORJ,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1914467,MGL,Mongolia
Bronze Medal,3,45500,Shirine BOUKLI,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000100--,1891280,FRA,France
Bronze Medal,3,45500,Tara BABULFATH,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000200--,1571911,SWE,Sweden
Gold Medal,1,45500,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,RU7MTEAM7---FRA01,FRA,France
Silver Medal,2,45500,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,RU7MTEAM7---FIJ01,FIJ,Fiji
Bronze Medal,3,45500,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,RU7MTEAM7---RSA01,RSA,South Africa
Gold Medal,1,45500,China 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,SHOXARMT----CHN01,CHN,China
Silver Medal,2,45500,Korea 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,SHOXARMT----KOR01,KOR,Korea
Bronze Medal,3,45500,Kazakhstan 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000200--,SHOXARMT----KAZ01,KAZ,Kazakhstan
Gold Medal,1,45500,United States,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRUSA01,USA,United States
Silver Medal,2,45500,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRAUS01,AUS,Australia
Bronze Medal,3,45500,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRITA01,ITA,Italy
Gold Medal,1,45500,Lukas MAERTENS,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,1907192,GER,Germany
Silver Medal,2,45500,Elijah WINNINGTON,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,1946172,AUS,Australia
